id,comment,label,task,,,
id280,Giao hàng nhanh!!,2,3,,,
id281,Phản hồi lại thì bảo ngẫu nhiên,0,9,,,
id282,Kết quả shop cho 10 cái như một,2,1,,,
id283,Lần trước đặt 2 cái 18,1,6,,,
id284,Nói chung là phục vụ kém thái độ không tốt,0,5,,,
id285,Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh,2,1,,,
id286,Cảm ơn cửa hàng,2,9,,,
id287,"Đóng gói sản phẩm rất kém, giày bị móp méo hơi ố vàng",0,2,,,
id288,Chất lượng ổn,1,1,,,
id289,Mình nhập đúng tên và mật khẩu nhưng không vào được,0,9,,,
id290,Đóng gói ổn định,1,2,,,
id291,Chỉ có đường chỉ chưa chắc chắn lắm thôi,0,1,,,
id292,Nhìn giống hàng chơi em bé,0,9,,,
id293,Chất lượng sản phẩm tuyệt vời. Đẹp lắm luôn,2,1,,,
id294,"Thiết bị phát wifi của nhà mạng Viettel và Dlink DIR-605L dù để xa thiết bị nhưng chất lượng sóng wifi vẫn tốt, không chập chờn",2,1,,,
id295,Tôi không hài lòng chất lượng sản phẩm này,0,1,,,
id296,"Thiết bị cách khoảng 3m cũng không nhận đầy đủ sóng. Hiện nay tôi đang sử dụng thiết bị cũ DLink DIR-605L 2 anten phát sóng còn mạnh, ổn định hơn sản phẩm vừa mua TP-Link Archer C50 4 anten",0,1,,,
id297,Được cái shop tư vấn tận tình,2,5,,,
id298,"Màu sắc dễ thương quá chừng, 5 cái 60k, vải cũng đẹp nữa",2,1,,,
id299,Chất lượng sản phẩm tuyệt vời rất đáng tiền,2,1,,,
id300,Ai mang size 36 thì nên đặt 35 là vừa,2,6,,,
id301,Không giao hàng,0,3,,,
id302,"Sản phẩm chạy được 30 phút thì ngưng không chạy nữa, kim nhấc không lên nổi",0,1,,,
id303,nói chung là chất lượng kém lắm,0,1,,,
id304,"Sách dễ bị bong tróc phần bìa, chất lượng giấy và mức hoàn thiện chưa tốt, phần keo cũng chưa tốt",0,1,,,
id305,"Keo như keo 502, giá keo 39k nhưng phí giao hàng 30k",0,4,,,
id306,"Dây giày không ăn khớp, thật tức muốn điên thiết chứ",0,1,,,
id307,Mẫu đẹp y hình,2,1,,,
id308,Dây bé tí dán không kỹ,0,2,,,
id309,Lúc giao hàng chẳng thấy hộp đâu,0,3,,,
id310,Bực bội giống mua hàng chộp giật,0,9,,,
id311,Đưa chiếc chai bọc lớp nhựa là xong,1,2,,,
id312,Đóng hàng chắc chắn giao hàng siêu nhanh giá rẻ sản phẩm được,2,3,,,
id313,Thay không thích rồi tính trả hàng mà người đang cần nên để xài,0,7,,,
id314,Sử dụng rất thích đánh kem nền rất mịn đẹp,2,1,,,
id315,Mặt nạ đắp sướng lắm luôn ạ,2,1,,,
id316,Giao hàng siêu nhanh,2,3,,,
id317,Con iPhone chạy Android đây sao,0,9,,,
id318,Hàng ổn định,1,1,,,
id319,Đẹp mà ngon quá.,2,1,,,
id320,Thời gian giao hàng nhanh,2,3,,,
id321,Nhân viên giao hàng nhiệt tình,2,3,,,
id322,Sản phẩm giòn ngon giao hàng nhanh đóng gói cẩn thận sẽ tiếp tục ủng hộ Shop,2,9,,,
id323,Bạn ấy giao hàng kém chất lượng bị khách nói thì quay ra sỉa sói khách,0,3,,,
id324,Vãi cả bán 500 cái ốp mà có một mình mình chê hàng kém chất lượng,0,1,,,
id325,Coi như tiền vứt cho chó nó gặm,0,9,,,
id326,Chất lượng sản phẩm phù hợp với giá,2,4,,,
id327,Giá cả hợp lý sản phẩm tốt,2,4,,,
id328,Giày hơi chật shop ạ,0,1,,,
id329,"Mềm viền lưng bụng cũng mềm nữa, giao hàng nhanh",2,3,,,
id330,Shop giao hàng nhanh gói hàng kỹ càng,2,3,,,
id331,Hàng nhìn chất lượng tốt,2,1,,,
id332,"Chất lượng sản phẩm kém, mình thấy son này không phải là son lì, rất dễ trôi",0,1,,,
id333,Máy rung tốt các cấp độ đều sử dụng được,2,1,,,
id334,Cảm ơn bạn nhé,2,9,,,
id335,"Sau khi cho kết nối Smart Tivi Android box smartphone iPad, chất lượng sóng wifi yếu, thỉnh thoảng chập chờn.",0,1,,,
id336,Hàng rất tệ tôi rất muốn trả hàng.,0,7,,,
id337,Shopee có thể giúp không,1,5,,,
id338,Đặt 3 đôi thì 1 đôi màu đỏ bị phai hết màu đỏ ra chân,0,1,,,
id339,"Mình không hiểu tại sao mình lắp thẻ nhớ vào điện thoại của mình thì máy chạy rất chậm, cứ đụng vào cái gì trong thẻ nhớ là máy đơ luôn. Tháo thẻ nhớ ra thì máy chạy bình thường",0,9,,,
id340,Còn một đôi thì như bán cho người thương binh,0,1,,,
id341,Đặt số 39 mà gửi về một chân 38 một chân 39,0,7,,,
id342,Rửa chân mãi mới sạch,0,9,,,
id343,"Sản phẩm đẹp, cảm ơn Shop nhiều nhé",2,1,,,
id344,Chúc shop có nhiều khách hàng hơn,2,9,,,
id345,Giày như trong hình,2,1,,,
