id,comment,label,task
62,"Mật để trong tủ lạnh bị đóng sệt lại, khoảng không trong chai không di chuyển như mật mình mua ở địa phương",0,1
63,Áo sờ chất rất thích,2,1
64,"Váy quá đẹp, mặc lên rất tôn da",2,1
65,"Mình xài hộp màu xanh, sao lại thấy không thơm nhỉ",0,1
66,"Giao hàng nhanh, giống hình",2,3
67,"Shop tặng thêm bánh và một đôi tất lười nữa, đáng yêu",2,8
68,"Hàng chất lượng tốt, mang đi êm",2,1
69,Chất lượng sản phẩm tuyệt vời nhưng màu không giống hình mình đặt,2,1
70,Người giao hàng rất có tâm đấy ạ,2,3
71,Hàng tốt y như trong hình,2,1
72,Giao hàng khá chậm,0,3
73,"Áo đẹp, hơi mỏng",1,1
74,Đúng hàng loại 1 có khác từ cách đóng gói đến chất lượng sản phẩm quá tốt,2,1
75,"Chất lượng sản phẩm tuyệt vời, ngon bổ rẻ shop ạ",2,1
76,Màn hình to và khá là HD,2,9
82,Shop còn có quà tặng kèm và thẻ tích điểm,2,8
83,Mạng chạy chậm quá,0,9
84,"Vừa khít bụng mình mà không bị hằn, cấn",2,1
85,Mua lần 2,2,9
86,Chất lượng sản phẩm tốt,2,1
77,Áo khá mỏng và ngắn hơn mình nghĩ. Đóng gói sản phẩm tốt,0,1
78,Quần chưa kịp mặc đã bục một đoạn,0,1
79,Mình 48kg,1,9
80,"Mình mua sản phẩm chất giống ảnh, gói hàng đẹp, giao hàng nhanh, giá cả hợp lý",2,1
81,Chất áo thì không phải lăn tăn luôn nhưng form hơi to,2,1
87,Rất ưng ý,2,9
88,"Hàng thì rất đáng yêu, rất mềm mịn",2,1
89,Chất liệu vải tốt so với giá,1,9
90,Chất lượng sản phẩm tạm được,1,1
91,Thời gian giao hàng tạm được,1,3
92,Đây là kết quả sau khi xử lý và phân loại:,1,9
93,"Màu bạc rất sáng, lấp lánh hơn màu hồng.",1,9
94,"Chất áo dày dặn, form áo đẹp.",1,9
95,Ống quần bên to bên nhỏ size s và l bằng nhau.,1,9
96,Đóng gói gọn gàng đẹp đẽ Chất lượng sản phẩm tuyệt vời Rất đáng tiền Thời gian giao hàng rất nhanh.,1,9
97,"Chất lượng sản phẩm tương xứng với giá tiền, mua mặc thay đổi kiểu thì ok",2,1
98,"Ốc hơi lỏng, cần thêm cái vặn vít. Không biết bao nhiêu nhưng quý hơn cái dây kia",0,1
99,Chất lượng sản phẩm tuyệt vời,2,1
100,Shop phục vụ rất tốt. Hết mẫu mình đặt còn gọi lại để đổi sang loại khác dù giá cao hơn nhưng vẫn tính giá sale. Hàng rất oke,2,5
101,"Ren hơi mềm nên làm dáng áo không được cứng, nâng ngực tạm được",0,1
102,Giao hàng lâu,0,3
103,Size 34 nhưng khung ngực nhỏ quá,0,1
104,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
105,Hàng giống hình rất đẹp ạ,2,1
106,Thái độ kém,0,5
107,Bàn tay mỏng nên không nâng được nhiều,0,9
108,Đẹp lắm đấy,2,9
109,"Áo giống hình, nhưng chất vải hơi nóng",0,1
110,"Đóng gói không cẩn thận, shop nên đóng hộp cứng để tránh móp bẹp túi",0,2
111,Giao hàng nhanh,2,3
112,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
113,Thời gian giao hàng rất nhanh,2,3
114,"Chất liệu vải rất mỏng, không đúng như trong hình",0,1
115,Giá tiền tương đương với sản phẩm,1,4
116,Chủ shop tư vấn rất nhiệt tình,2,5
117,Bộ 2 màu xanh và hồng không giống nhau,0,1
118,"Áo rẻ, đẹp, phù hợp giá tiền",2,4
119,"Áo vải rất đẹp, giống y hình",2,1
120,Áo to hơn mong đợi,1,1
121,Chất lượng sản phẩm tuyệt vời,2,1
122,Sản phẩm mới. Chất lượng sản phẩm tuyệt vời,2,1
123,Giao hàng nhanh,2,3
124,Rất ngon nhưng mà theo em thì nên xé nhỏ khô lại,1,9
125,Chất lượng sản phẩm tuyệt vời,2,1
126,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
127,Luôn ủng hộ cửa hàng,2,9
128,Âm thanh rất tệ,0,1
129,Sản phẩm xấu và nhìn phom áo không đẹp,0,1
130,"Chất lượng sản phẩm tốt, đáng đồng tiền",2,1
131,Quần vải đẹp ôm gọn chân và vải rất mát,2,1
132,"Shop vận chuyển hàng nhanh, váy khá ổn, mà còn được tặng quà nữa hihi lắc tay nhỏ nhỏ xinh xinh khi nào đeo cho bé nhà",2,3
133,"Nhìn cái áo cũ màu không đẹp, vải mỏng không đáng tiền lắm",0,1
134,Đập vào mắt là 175000₫ làm mất hứng,0,4
135,"Sản phẩm được, màu đậm hơn hình",1,1
136,"Áo có mùi như thuốc tẩy, giặt mãi không hết",0,1
142,"Công nghệ hơi lạ, không biết có bền không",0,1
143,Gối hơi nhỏ,1,1
144,"Áo nhìn xinh, shop nói chuyện cực đáng yêu",2,5
145,Chất lượng sản phẩm tạm được,1,1
146,Chiều dài áo ngắn quá,0,1
137,Hàng đẹp giao nhanh,2,3
138,"Chất lượng sản phẩm tuyệt vời, vải ổn, thích hợp cho những ai thích mang form rộng lắm nè",2,1
139,Hợp với giá 130 nghìn,2,4
140,"Form áo xấu lắm, mặc lên như tá điền, chỗ tà áo bên dưới rất dài chứ không ngắn như ảnh mẫu mặc",0,1
141,Thời gian giao hàng rất nhanh,2,3
147,Vải rất ổn lắm luôn.,2,1
148,"Sản phẩm tạm được, nhưng đóng gói không đẹp.",0,2
149,Chưa thấy shop nào tệ lắm như thế này.,0,9
150,"Sản phẩm rất tốt, kể cả áo trong của nữ chất vải cũng mềm và đẹp, khi mang lên trông sang chảnh, tôi và bạn mình diện đi sinh nhật ai cũng khen đẹp đôi, nói chung là rất hài lòng.",2,1
151,Tầm giá này là sử dụng tốt.,2,4
152,Không dùng được,0,1
153,Chất lượng sản phẩm tạm được áo hơi ngắn so với hình,0,1
154,Sản phẩm tốt giao hàng nhanh,2,3
155,Hàng bình thường,1,9
156,Không còn đường nào để chê,2,1
157,Chất vải ổn và dày dặn,2,1
158,Ưng!,2,1
159,Hôm nay mua thêm một combo nữa,2,6
160,"Áo đẹp lắm shop ơi, mình rất thích",2,1
161,Thời gian giao hàng nhanh,2,3
167,"Shop nhiệt tình giúp đỡ, chất lượng quần thì khỏi chê, dài rộng gì cũng vừa ý mình hết",2,5
168,"Yêu cầu đổi trả Shop yêu cầu gửi ảnh, gửi cho rồi im lặng",0,7
169,Thời gian giao hàng rất nhanh,2,3
170,Rất đáng tiền,2,4
171,Shop phục vụ rất tốt,2,5
162,Rất ưng hiii,2,1
163,Không giao,0,3
164,Màu sắc không giống hình,0,1
165,Áo vải quá xấu,0,1
166,"Nói chung là mình mua mặc đi làm ok, đáng tiền",2,4
172,Dưới đây là kết quả phân loại và chỉnh sửa câu theo yêu cầu của bạn:,1,9
173,Chất lượng sản phẩm tuyệt vời.,1,9
174,Sản phẩm giống hình.,1,9
175,Giầy hơi cứng Chất lượng sản phẩm tạm được.,1,9
176,Sờ chất quần thì Ok luôn.,1,9
177,"Váy đẹp kỹ, tư vấn nhiệt tình",2,5
178,Y hình,2,1
179,Nhắn tin không trả lời,0,5
180,Chất lượng vừa với giá tiền,2,1
181,Sẽ ủng hộ shop dài,2,9
182,Hàng chất lượng hơn giá sản phẩm nhắc mọi người.,2,1
183,Áo rách như thế này không hiểu phải mặc như thế nào luôn.,0,1
184,"Nhưng cũng phù hợp với giá tiền, mặc vẫn ổn!",2,4
185,Đồ mặc vừa. Thun hơi ôm dễ thấy bụng.,1,1
186,Chọn màu này lấy màu kia.,0,6
187,"hàng tương đối ổn, mình khá hài lòng",2,1
188,Inbox không trả lời,0,5
189,Mình mua 2 chai về tàng trữ dần vì loại này vừa tẩy sạch vừa không gây mụn như dầu tẩy trang,2,1
190,Mất uy tín,0,9
191,Màu ngoài không giống trong ảnh nhưng chất lượng khá ổn với giá,2,4
192,Rất ưng,2,9
193,"Shop giao hàng nhanh, gửi đúng màu, áo giống hình, mặc dù chất vải không đẹp như mong muốn nhưng vẫn cho shop 5 sao",2,3
194,Shop phục vụ rất tốt,2,5
195,Thời gian giao hàng rất nhanh,2,3
196,Giày đẹp lắm,2,1
197,Giao hàng nhanh,2,3
198,Chất lượng sản phẩm tuyệt vời,2,1
199,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
200,Rất đáng tiền,2,4
201,Thời gian giao hàng tạm được,1,3
202,Shop phục vụ rất tốt. Thời gian giao hàng rất nhanh,2,5
203,Thời gian giao hàng rất nhanh,2,3
204,"Nhưng không sao, cảm ơn shop",1,9
205,Chất lượng sản phẩm tốt nhưng giao hàng chậm,0,3
206,Online cũng chẳng trả lời gì,0,5
207,"Đóng gói sản phẩm chắc chắn, shop giao hàng nhanh, nhận ngay ngày 20/10",2,3
208,"Về sản phẩm thì chất vải cũng được, hợp mặc mùa thu",1,1
209,"Áo đẹp nhưng mà shop nên kiểm tra kỹ sản phẩm đi ạ, áo thì cứ vài chỗ lại có vết bẩn xong lại có màu xanh xanh ở gần đuôi áo",0,1
210,Chưa kể lúc mở hàng ra thì bị ngay cái dằm suýt đâm vào tay,0,2
211,"Shop giao hàng cực nhanh luôn, trưa hôm qua đặt mà trưa nay đã giao",2,3
212,Chủ shop nhiệt tình,2,5
213,Rất đáng tiền,2,4
214,Sản phẩm rất đẹp,2,1
215,Hơi thô,0,1
216,Vải rất mỏng,0,1
217,Hàng y như hình,2,1
218,Đẹp lại rẻ,2,4
219,"Chất lượng sản phẩm tuyệt vời, ưng sẽ ủng hộ shop lâu dài",2,1
220,Giao hàng nhanh,2,3
221,"Quay lại sửa đánh giá sau khi diện váy muôn nơi. Váy chất lượng không có gì để chê, tuyệt vời, dày dặn, che mông tốt, cạp cao, mặc lên eo thon và chân dài",2,1
222,"Giao hàng rất nhanh, áo đẹp, nói chung rất hài lòng",2,3
223,"Đặt màu xanh đậm mà giao màu xám, thất vọng quá, màu thấy cũ sờn",0,6
224,Quả không đẹp,0,1
225,Chất lượng sản phẩm tạm được,1,1
226,Áo chất lượng đẹp,2,1
232,"Đúng với hình ảnh, sản phẩm rất đẹp",2,1
233,Mẫu mã cũng rất đa dạng,2,9
234,Chất lượng sản phẩm tuyệt vời,2,1
235,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
236,Hết hàng thì phải báo với khách chứ đằng này vẫn giao,0,5
237,Đây là kết quả của tôi:,1,9
238,Tuyệt ạ ... giày nhẹ êm.,1,9
239,Đúng mỗi 1 màu.,1,9
240,Sản phẩm chất lượng .,1,9
241,"Cổ áo bị rách shop nên ktra kĩ trc khi giao, mình 40kg cao 1,55m mà mặc hơi chật.",1,9
242,Đóng gói kỹ,2,2
243,Gói hàng cẩn thận,2,2
244,Cảm ơn shop nhiều,2,5
245,"Đây là lần thứ hai mua sản phẩm của shop, giày đẹp",2,1
246,Cách phục vụ tốt,2,5
247,Cảm ơn shop nhé.,2,9
248,Giống hình mà vải hơi cứng bạn ạ.,0,1
249,"Chất áo đẹp lắm, yêu shop.",2,1
250,Quần của shop quá đẹp luôn.,2,1
251,"Mình lấy size lớn nhất cho rộng rồi, size XXL mà nhìn thấy bé hơn quần cũ, chồng mình 72kg, sản phẩm chất thì nhìn tốt",1,1
227,Tôi rất hài lòng về sản phẩm,2,1
228,"Chất lượng sản phẩm tuyệt vời, rất ưng ý, đồ đẹp",2,1
229,"Shop làm ăn không uy tín, sản phẩm thì dởm, chat thì chặn",0,1
230,Hàng rất ok,2,1
231,Chất lượng phù hợp giá tiền,2,4
262,Chất lượng sản phẩm kém không giống như mô tả,0,1
263,Đáng tiền,2,4
264,Váy mặc siêu xinh,2,1
265,"Thời gian giao hàng rất nhanh, hàng giống y hình",2,3
266,Vải rất đẹp,2,1
257,Mặc phối với chân váy hay jean đều đẹp,2,9
258,Nhưng Giao Hàng Tiết Kiệm thu tròn 110.000 đồng,0,4
259,Không giống hình cho lắm nhưng chất lượng cũng OK,1,1
260,Mua 3 mà mỗi sản phẩm này là được,2,6
261,Chất lượng sản phẩm tuyệt vời,2,1
252,Chất lượng sản phẩm tuyệt vời,2,1
253,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
254,Thời gian giao hàng rất nhanh,2,3
255,Rất đáng tiền,2,4
256,"Chất lượng thì ổn nhưng cổ áo không giống hình, cổ áo không rộng mà ôm",0,1
267,Tiền nào của nấy,1,4
268,Gooddd,1,9
269,Áo rộng hơn hình nhiều,0,1
270,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
271,Kem bên trong là màu trắng khác với kem này là màu vàng nhẹ,1,1
272,Áo form rộng như ảnh.,2,1
273,Chất liệu vải ổn nhưng hơi rộng.,1,1
274,Giao hàng không đúng màu.,0,3
275,"Vải nỉ dày, nóng.",0,1
276,"Shop phục vụ rất tốt, chất lượng sản phẩm ổn.",2,5
277,"ngon đấy, nhưng đang ăn thì ăn phải cọng thun",1,1
278,Khá ổn sẽ ủng hộ shop tiếp,1,9
279,Đẹp lắm nha,1,1
280,Áo vừa quá,1,1
281,Thời gian giao hàng nhanh,1,3
282,Áo đẹp lắm bạn ơi.,2,1
283,Màu thì không thực sự giống trong hình.,0,9
284,"Chất lượng vải kém, không như trong hình.",0,1
285,Đã quay video và chụp ảnh nhưng shop không phản hồi.,0,5
286,"Quần thoải mái, vừa vặn, đẹp.",2,1
287,"Vận chuyển hàng không nhét lót vào cặp, nên cặp bị méo mất dáng",0,3
288,"Giao 2 sản phẩm, trả lại hết 2 sản phẩm. Mình là dễ chịu nhất khi ưa hàng, hơi thất vọng",0,7
289,"Ngày qua flash sale 39k/chai, hết flash lên 55k rồi giảm còn 50k",1,8
290,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
291,Chất được,2,1
292,"Chất lượng sản phẩm tuyệt vời, hợp với giá tiền, sờ rất thích, màu ngẫu nhiên nhưng đẹp lắm",2,1
293,"Mật ong loãng, không đặc sánh lắm",0,1
294,Sẽ tiếp tục ủng hộ shop dài lâu,2,5
295,Dép đi êm và mềm,2,1
296,"Váy đẹp, vải pha nilon nên hơi nóng",1,1
297,"Chất lượng tạm được, tương xứng với giá tiền",1,1
298,Giao hàng tận tình,2,3
299,Chăm sóc tận tình,2,5
300,Giá tốt,2,4
301,Giao hàng chậm quá,0,3
302,Lọc ổn nhưng hi vọng shop đóng hàng kỹ hơn,1,2
303,"Vải mỏng, thô hơn mình tưởng tượng",0,1
304,Giao hàng nhanh,2,3
305,Thời gian giao hàng nhanh,2,3
306,Chất lượng sản phẩm tốt,2,1
307,Shop rất thái độ với khách hàng,0,5
308,Bị chật ngắn,0,1
309,Shop phục vụ rất tốt,2,5
310,Thời gian giao hàng rất nhanh,2,3
311,Chất lượng sản phẩm tuyệt vời,2,1
317,Chất lượng sản phẩm rất kém. Shop phục vụ rất kém. Rất không đáng tiền,0,1
318,"Shop phục vụ quá kém, nhắn tin về số tiền sẽ hoàn lại thì không thấy trả lời gì hết",0,5
319,Nhưng khá ổn rồi,1,9
320,"Hihi ưng lắm ạ, giày đẹp lắm nha mọi người, đi êm mà dễ phối đồ cực",2,1
321,"Chả ra gì cả, chất lượng kém",0,1
327,"Chứ nhận hàng hết cả hồn, ngâm xà bông chà mãi vẫn không sạch",0,1
328,"Ai thích mua, chọn size lớn hơn 2 size sẽ ok hơn",1,9
329,Đẹp hút hồn,2,1
330,Giao hàng cũng nhanh,2,3
331,Giá còn rẻ,2,4
322,Chất lượng rất ổn,2,1
323,"Rất ưng, mặc thoải mái mà chất vải rất thích",2,1
324,Nhưng mà shop nói có tặng kèm dây đàn nhưng mình nhận được không có,0,9
325,Shop phục vụ rất tốt,2,5
326,Rất đáng tiền,2,4
332,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
333,Chất lượng sản phẩm tốt,2,1
334,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
335,"Sản phẩm bị ỉu, không giòn và cũng không có thời hạn sử dụng trên bao bì",0,1
336,"Không tốt, chất liệu xấu",0,1
312,Chất lượng sản phẩm quá tệ,0,1
313,Chủ shop nhiệt tình dễ thương,2,5
314,Giao hàng nhanh,2,3
315,Đàn nhìn rất dễ thương,2,9
316,Chất lượng sản phẩm tuyệt vời,2,1
337,Chất lượng sản phẩm tuyệt vời,2,1
338,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
339,Shop phục vụ rất tốt,2,5
340,Chất vải được,1,1
341,"Sản phẩm đẹp, ổn, chắc chắn mà lại rẻ hơn so với mình mua ngoài shop",2,1
342,Tuy nhiên mình mua 2 cái thì cái size L ở tay áo bị viết số màu xanh lên chỗ tay áo mình giặt không ra,0,1
343,"Shop đóng gói cẩn thận, có kèm 1 tờ thiệp và 1 tờ rơi giới thiệu nữa",2,2
344,Chất lượng sản phẩm tuyệt vời,2,1
345,Không ưng ý lắm,0,1
346,Shopee nên coi lại chọn người bán có kinh nghiệm chút,0,9
347,Chất lượng sản phẩm tuyệt vời,2,1
348,Giờ chẳng biết làm gì với cái áo đó,0,9
349,Nói chung rất ưng,2,1
350,Thời gian giao hàng rất nhanh,2,3
351,Kem thẩm thấu rất nhanh,2,1
352,"chất lượng ổn, mỗi tội bụng rộng quá, lại phải sửa.",0,1
353,Shop phục vụ rất tốt.,2,5
354,Chất áo mỏng.,0,1
355,Chất lượng sản phẩm tuyệt vời.,2,1
356,Đóng gói sản phẩm rất đẹp và chắc chắn.,2,2
357,chất liệu vải thì cũng tạm được,1,1
358,"chán cái đường chỉ, 1 cái thì bục chỉ ở túi còn 1 cái may cả vào chun",0,1
359,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
360,"áo khá to so với mình, nên bạn nào muốn mua size L mà tướng người nhỏ bé thì nên chọn size M nha",1,9
361,được tặng móc khóa hình Jinmin thích lắm,2,8
362,Đặt hàng không giao hàng là sao vậy ạ,0,6
363,"Hơi mỏng, không như mong đợi",0,1
364,Ủng hộ shop ngàn sao luôn,2,9
365,Hic,0,9
366,Chất lượng sản phẩm tuyệt vời,2,1
367,Giao hàng nhanh,2,3
368,Chất lượng khá tốt,2,1
369,Vải dày và co giãn tốt,2,1
370,Nhưng nếu màu hồng tươi thì ổn,1,9
371,Vải rất đẹp,2,1
372,Chất lượng sản phẩm tốt,2,1
373,Đóng gói sản phẩm chắc chắn,2,2
374,Shop phục vụ khá tốt,2,5
375,Thời gian giao hàng hơi chậm,0,3
376,Áo này dày hơn và chất đẹp hơn cái màu trắng mà mình mua,2,1
377,Có chút trục trặc nhưng sửa lại thì vẫn đẹp,1,1
378,Chất lượng sản phẩm tuyệt vời,2,1
379,"Chất áo đẹp, lên dáng ổn, tuy nhiên mặc hơi ngứa một chút",1,1
380,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
381,Thời gian giao hàng rất nhanh,2,3
382,Giao hàng thì thôi nhanh khỏi nói.,2,3
383,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
384,Thời gian giao hàng rất nhanh,2,3
385,Vải áo hơi mỏng,0,1
386,Muốn làm đại lý sỉ.,1,9
387,"Chất lượng sản phẩm tạm được, trượt cơ học khá dít gây khó khăn cho sử dụng",0,1
388,Nhưng áo khiến mình hơi thất vọng,0,1
389,"Mặc khá xinh nhưng chất vải xấu, mỏng, cứng",0,1
390,Chất lượng sản phẩm phù hợp với giá,2,4
391,Mới dùng chất lượng ổn,1,1
397,đẹp dã man thế này.,2,1
398,"Áo xinh lắm nhé mấy nàng, với giá này thì áo vậy là đẹp rồi!",2,4
399,"Khô gà bị mặn, cả nhà mình đều kêu vậy.",0,1
400,Giao hàng nhanh.,2,3
401,Áo rất ấm.,2,1
392,Thời gian giao hàng rất nhanh,2,3
393,Mua ba cái thấy ổn,1,9
394,"Đẹp quá, ủng hộ shop lâu dài",2,1
395,"Áo mặc ổn lắm, mọi người cứ tin tưởng mua hàng nhé",2,1
396,Dù sao với 160 nghìn thì chất lượng như vậy là quá được,2,1
402,Hơi thất vọng,0,9
403,Chất lượng sản phẩm tuyệt vời,2,1
404,"Huhuu, xin lỗi vì bây giờ mới xác nhận đã nhận hàng :",1,9
405,Chất lượng sản phẩm tuyệt vời,2,1
406,Rất đáng tiền,2,4
412,Chất thích mà size hơi nhỏ so với size bình thường,1,1
413,"Hàng đẹp, chất lượng",2,1
414,Sản phẩm không có hộp,1,2
415,Rất đáng tiền,2,4
416,Nhìn ưng lắm,2,1
417,"Chất lượng sản phẩm tuyệt vời, chất lượng sản phẩm tuyệt vời",2,1
418,Ưng lắm shop à,2,5
419,Chất lượng sản phẩm tốt,2,1
420,Thời gian giao hàng tạm được,1,3
421,Còn về hàng thì okie luôn,2,1
422,Yến Sâm,1,9
423,"Xấu quắc, không giống hình, cảm thấy khó chịu",0,1
424,"3 in 1 mà mở hộp ra có mỗi 2 lens, thiếu mất lens macro",0,2
425,Chất lượng sản phẩm rất kém,0,1
426,Không có dịch vụ là sao,0,5
427,Đầu ra cho các câu bạn cung cấp như sau:,1,9
428,"Sản phẩm tốt, giá rẻ.",1,9
429,Nhưng good.,1,9
430,Thất vọng kinh khủng.,1,9
431,Vậy là oke so với giá tiền rồi.,1,9
432,Chất lượng sản phẩm tuyệt vời. Thời gian giao hàng rất nhanh. Rất đáng tiền,2,1
433,"Hàng đẹp, đúng như hình",2,1
434,Đóng gói sản phẩm rất chắc chắn. Thời gian giao hàng rất nhanh,2,2
435,Chất lượng sản phẩm không được tốt bằng sản phẩm mình mua trực tiếp ở các cửa hàng,0,1
436,Cảm ơn shop,2,5
437,Dưới đây là định dạng đầu ra tương ứng với các câu bạn cung cấp:,1,9
438,Shop phục vụ rất tốt.,1,9
439,"form ko đẹp, ko định hình tốt vòng 1.",1,9
440,Ống tay hơi nhỏ .,1,9
441,Đc shop lì xì nữa.,1,9
442,Sản phẩm chất lượng quá tệ,0,1
443,Shop giao hàng nhanh,2,3
444,Phục vụ nhiệt tình,2,5
445,Biết đẹp thế mình mua thêm cái màu đỏ nữa,2,4
446,Chỉ bung hết ra,1,9
447,Tiếc rằng hết màu thích không thì sẽ lấy thêm,0,9
448,Shop chăm sóc khách hàng rất chu đáo,2,5
449,"Chất lượng sản phẩm được, phải chi có màu rêu",1,1
450,Tất cả đều ổn,2,9
451,Áo đẹp,2,1
452,Chất lượng sản phẩm tuyệt vời,2,1
453,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
454,Shop phục vụ rất tốt,2,5
455,Rất đáng tiền,2,4
456,Thời gian giao hàng rất nhanh,2,3
457,Chất lượng sản phẩm quá tệ,0,1
458,"Chất lượng sản phẩm tạm được, hơi chật, mình 45 kg thấy hơi chật, cổ bị rộng",1,1
459,"Dùng rất ổn, chỉ không biết dùng liệu có lâu được không thôi",1,9
460,Bó tay,0,9
461,"Size áo nam nên nữ sẽ mặc hơi rộng, trừ điểm đó ra tất cả đều rất hài lòng",2,1
462,Chất lượng sản phẩm tốt tuyệt vời,2,1
463,"Chất vải rất mỏng, màu cũng xấu không đẹp như hình",0,1
464,"Y hình chuẩn đẹp, chất lượng sản phẩm tuyệt vời",2,1
465,Áo rất đẹp,2,1
466,Anh chị shop rất nhiệt tình,2,5
467,Nhìn chung tạm ổn,1,1
468,Ống tay xấu,0,1
469,Áo mỏng hơn so với mình nghĩ nhưng vẫn ổn,1,1
470,Chất lượng sản phẩm tuyệt vời,2,1
471,"Thời gian giao hàng rất nhanh, vải đẹp",2,3
472,"Form dáng không giống mẫu mặc, may nhái lại thôi ạ, chất vải được",0,1
473,"Áo đẹp, ok",2,1
474,Cho 5 sao,2,9
475,Áo rất đẹp,2,1
476,Thời gian giao hàng rất nhanh,2,3
477,Nói chung mình thấy ok,1,9
478,Áo chất đẹp thích hợp đi chơi,2,1
479,Giao hàng nhanh,2,3
480,Nhân viên tư vấn nhiệt tình,2,5
481,Phù hợp giá tiền,2,4
482,Em thích lắm.,2,9
483,"Giống hình, đóng gói sản phẩm rất đẹp và chắc chắn",2,2
484,Rất đáng tiền,2,4
485,Thời gian giao hàng rất nhanh,2,3
486,"Cũng cùng hãng giày này có shop bán có 79k, nên các bạn tìm hiểu kỹ khi đặt hàng",1,6
487,Vận chuyển siêu nhanh,2,3
488,Chất liệu vải không co giãn,0,1
489,Không ra gì,0,9
490,Nắp túi bị lệch,0,1
491,Mình nhận được cái túi nó móp méo,0,2
492,Áo quá nhỏ,0,1
493,Áo vải rất đẹp,2,1
494,Shop phục vụ rất tốt,2,5
495,"Hàng đẹp, chủ shop rất nhiệt tình",2,1
496,Chúc shop càng ngày càng đắt hàng,2,9
